"binder";"docid";"class";"text"
"Tobacco800";"aah97e00-page02_1";"FirstPage";"Dr. M.A. Manzelli, PHILIP MORRIS INC., Research Center, P.O. Box 3 D Richmond, Va. 23206 U.S.A. Dear Art, Please find enclosed a proposed program for your visit in Europe. As you will see, this program contains two major points:  a)    A two-days meeting in Neuchätel with all people in Europe involved in infestation control (proposed program included).  b)    Visit of all PM Europe production centers with the purpose of:        - training people in Charge of the insect indenti-fication        - inspection of the sanitary conditions One of our main problems is the insect Identification and it would be very helpful if you provided us with detailed             ' pictures or drawings     of the most  common  insects.                O            «                                                          O I leave it up to you     to organize  your travel from    the         2 States to Europe and     backwards.  We may   organize your travel in Europe.                                                    CA                                                                                                                                              IS3"
"Tobacco800";"aah97e00-page02_2";"NextPage";"- 2 - Please let me krow if you have any changes for the proposed program. Looking forward to seeing you again, cc:    Messrs.  B.  Kuhn                 E. Stoop Encl.: mentioned 1000035625"
"Tobacco800";"aam09c00";"FirstPage";"I NOIJ-04-97    13 = 25 FROM = I D : PAGE 10/17 Wachtell, Lipton, Rosen & Katz MARTIN L1PTON HERBERT M. WaCHYCLL THEODORE GEWSRTZ »ERNA*» W, NUSSBAUM RICHARD O- HATCHER DOUGLAS Sr LieBKAfSKV STEVEN M. SAR NA CMARt.CS T. MEPCRR'GK CHAIN J. FOPTCANG pBTRR C. 1AMCLLDS MICHAEL w. SCHWÄRT* Al.LAR A- MARTIN BARRV A. BRrCR IAWREHCE □. PEDQrWITZ ROBERT 0. MAZUR PAUL VIZGARRÖMSCK JR. PCTCR G- HCIM hAROlD s. «OViKOFF DAVID M. EINHORN KENNET« B. FQRREST METER C. KOPLOW THEODORE M- MIRVIS EDWARD D. MERL1HT RICHARD D. FEINTUCH DANIEL A. NEPP ERIC M. ROTR WAHREN R. STERN ANDREW R. BROWN ST EIN MICHAEL H. ßrOWlTI PAUL K. ROWE MICHAEL B. BENMEF MARC WOLIM&KT DAVID ONUCNttcim PATRICIA A.VLAMAKIS STEPMEN C. OELLMAN sein a. Kaplan BARBARA »OBA> HS STEVEN A- ROSEN0LUM PAM Bla. S> SEtmOn STEPHAN IC J- SELIG MAN ERIC S. ROBINSON ELLIOTT V. STEIN JQHM F. SAVARCSC SCOTT K. CHARLES ANDREW C. HOUSTON PHILIP HINDU« DAVID 9. «RILL JOOI Jr SCH WARTZ ADAM Ö- CUMEUIvM CRAIO M. WAS5CRMAN ADAM O- CH |NN ■SEOR3E T. COHWAV 1|| RALPH M. LEVENE bidurA O. haOön KAREN S, KRUEGEF POUBlAS H. KATER davio m. Silk robin panovka DAVID A. KATZ aOMM o. COAT ES IV MITCHELL S. PRESSER ILEME KNABLE OOTTS JEFFREY R. BOFTA OaViD M. MURPHY jEFFREt M. V/INTnER                                                 5.1 WEST 52ND STREET NEW YORK, N.V. 10010-6(50                                                  TELEPHONS) (ÄISi <05- lOOO FaCSIMILEp <ZtZ) «03-2000                                                     £27 WEST MONROE STREET CHICAGO, ILLINOIS SOS OS TELEPHONE; <3121 ££6-0080 FACSIMILE: 13121 23S-85SS                                                                            ccopoC A- KATZ tl»«<190»>                                                                          -IAMSS M. FOOBLBON (IRBF'iaRU  October 31, 1597 The Honorable Orrin G. Hatch United States Senator Chairman, Committee on the Judiciary United States Senate Washington, D.C, 10610-6275                     COUNSEL LEONARD M. RpGCN NORMAN REDLICH            LAWRENCE P. KINO  JOHN M. RICHMAH           PETER O. MCKEHNA                                                                               amt r. wolp MGIR FE OCR TREVOR S. NORWtVfe VON) P. REaMCR STEVEN M. aBRamOwiTZ BR ADLET A- ROBinS STUART C. BERMAM MANCV M- CLARK YOCHRVEO COHCH acu M-CCRMAHA DAVID R, LUR1E audrcw J, MUSSBAUM RACHELLE SILVERBKRG STEPHEN R, BLACKLOCKS DAVID C. BRVAM STEVEN A, COHEN RONALD E, PHILLIPS ERIC L. PRESS CAVIM D. EpLOTAR ADRISNNE ATKINSON JUDITH C. TCDCRBL'iH LAWRENCE SBOcnWER DAVID C. KAPP Barbara S. kohl TEREnCE S. lEiOhTON miRiAM P. LONOCHAMP KEVIN S. ft ECO EDWARD A- STELZER KCl Th h. woFFORD MaRC D, aSMlCY JOSHUA R. EAmmAKER SETH GARDNER MARK SORDON DARRT R. KM1NEC JOSEPH A. LaNASA Hl JOSEPH D. L-ARBON LAWRENCE 5- MAKOW THAO Pr MATLOCK MELANIE t-QKHORM EUGENE P. STEIN ORSGORY Pr TAJCIN SHEEHA WRIGHT SCOTT L. BLACK GREGORT R, BLATT JAMES COLC, JR-HA«CT B. OHECKBAUM FRANK L. MILLER MATTHEW I. MILLER JULIUS R. SCHWARZ ALEXANDER SKAKNES Saran e. syrasser «ART M, SWIDLE» VT AVNE W. TU Dear Senator Hatch:            I am enclosing the answers to the written questions posed to me by Senator Grassley. Some additional Information which he sought with respect to smokeless tobacco products will be provided directly by U.S. Tobacco Company. MGK/tv   CO   OJ   ON   ro   ro   co   4=*   ON"
"Tobacco800";"aao54e00_1";"FirstPage";"i PHILIP .MORRIS         INCORPORATED 120 PARK AVENUE, N EW YORK. N. Y. 10017 John T.-Landhy SENIOR VICC PRESIDENT                                                         _ ,                    r     . n n - . oirector of Marketing                                                         February 15, 19 83 Dear Ms. Ober: Your letter of February 3 was received by this Office yesterday. We attempted to reach you by telephone iinmediately but were unable to find a listed number in New Haven. I had hoped to arrange an appointment for one of our executives to discuss with you and your concerned friends the matter you have brought up in your letter. First of all, let me advise you that there is absolutely no asbestos or any other foreign materials in the filter of any of our cigarettes. There has never been any asbestos, in any form, in any cigarette ever manufactured by Philip Morris Incorporated. You have sttated in your letter that you heard otherwise on a televised newscast. We would very much appreciate your advising us of the .newscast and/or the television channel through which you heard this grievously incorrect Statement. We would certainly be able to obtain an immediate retraction and correction. I would also appreciate if you would call my Office—collect—at: (212) 880-3555. I would like to arrange with you for one of our people to personally discuss this matter with you and your friends at a time convenient to you. The untrue and totally unfounded charges you have brought against Marlboro Lights cigarettes are of great concern to me and I would like to arrange an opportun!ty for one of our people to further clarify this subject with you. Please call me and •we can make the arrangements.                                  ....continued.... 1005063373"
"Tobacco800";"aao54e00_2";"NextPage";"In the meantime, I hope you and your friends are continuing to enjoy your Marlboro Lights ciga-rettes. We don't think you can find a better"" cigarette on the market. ■Thank you. Ms. Angela Ober 221 Farnham Avenue New Haven, Connecticut 06515"
"Tobacco800";"abm69c00";"FirstPage";"    The Journal of Immunology                                         3770 Tansy Street, Suite 2-D San Diego, California 92121 (619) 457-3190                                        June 3, 1986 Dr. YUkihiko Saeki Department of Molecular imrrunology Eoswell park Memorial Institute 666 Elm Street Buffalo, m 14263 Dear Ör. Saeki: X am pleased to infonn you that your manuscr ipt entitled ""Tumor Specific Id io type Vaccines. I. Generation and Characterization of Internal Image Tumor Antigen"" by Raychaudhuri et al. (I8613179C) has been accepted for publication in Xhe Journal of imnunology.     anticipate that your article will appear in the September 1, 1986 issue. There will be a Charge of $66.00 per page at that time.                                   ""Sincerely yours, Jöseph D. Feldman, M. D. Editor JDF:se  50166733"
"Tobacco800";"acr64d00";"FirstPage";"m mcumi LiPTQN mu & (MON] 2.12’01 14:42^^14;41/NO. 4861318724 P 4 Wachtell, Lipton, Rosen & Katz MARTIN LIPTON HERBERT M. WAC.WTFn, THEDDÖRE CCAC^T 2 nERNARD W. NUSSBAUM piCHARD D. km-CIICR ÖQUCLAS V HEB HA FS K¥ STEVEN M. ÖARNA CHA1M ->• FoNTOANCi PEYEft C, CANELLosf mIChaEL w> SCnYMttz ALUAR A. MarttM ■arry A< Bayer lAwRcncs B, peoowitz BOBEBI s. HA2LIR PAUL Vt2CARBOHDÜ, JR. PETE« C. MEIN HAROLD 5i noVIKdfF DAVID m. RIMHORN KEWUrVw o. PORBCOT MtYER Q. KQPLOW THEODORE M. MIRVI» EDWARD D. McnLIHY RICHARD EL FElfiTlIÄM DARI El a. NCFP ERIC H. *OTw WAR REN R. STERN ANDREW R. BRäWNJjTEIN Michael n. RYOW'TÜ rVUlL K. RQWE MICHAEL S. RENNER MARC WOLINSKY DAVID CkUCWSTEin PATRICIA A.VLAWAKI# Btepwcn O. CCLLMAH iHTX A. HAPuih Barbara ROnaiNs STEVEN A, ROSEN BLUM pamlla S*. SCVMON STEPHANIE mim StUOHAN ERIC 3S. ROBiftSQN ELLIOTT V- stcIH JOHN r. ¥AVARESe ANDREW C. HOUSTON PUtLIft U1NDUN DAVID =- NEILL JODl J. BOhWART3> ADAM a- EMMERICH cftAts Mi was at ft man ADAM D. CHINN OEOROC r. CONWAY lll RALPH M. LXVCNS AiCHARD Om MAWN KAREN «- KNUEOKR DQUCtAS K, MAYER DAVID m. SILK ftösin panqvha DAVID A. KATT mjtchell 5, Presser 1LE.N*. KNAULE OOTYS JEFFPEY ft. HOFFA David m. MURPnr JEFFREY M. WINTMKR TREVQR r. NOHwitz SEN M. CERMANA ANCRCW U. KUSSIIAUM   Gl WEST S*NÖ STREET NEW YOR K, N- Y. IOOIÖ-6I5Ö TELEPHONE! 1212) JT03-IQÖ0                                              facsihile: tsiai **03-2000                                                                                GEORGE A, KATZ. f',ftea> !a»tn JAMt» m. focclsoN (ia*7-ia»ii                                                                          COUNSSL WILL IAH T. ALLEN ACOYt n. CHARLES ftlCNARD Ai KIM"" LAWRENCE P- KINO PCTEft Ü. HeKENNA  NORMAN REDLICH JOHN M. AICHMAN LEONARD M. ROSEN AMY R. wir                                                  Marth 2511999 FAMFI a FhrenKRANI MICHAEL C. FATZKE BE BO ft AH L. RAUL TONI R. MgAMElt STEVt« M- A9RAMOWIT2 BRAOLEYAt RÜBINS STUAWT C, ßRH MAN YOCHEvtD COHEN DAVID K. LUHIC ftachclle s ilvedoeac STÖpmen bt Slacklock* DAVID Ci BrYAN STEVEN A. COHEN GAVIN Ü. SOLOTAR ADftltNNE ATKINSOM DAVID C. KAftM Barbara s- kohl Mibiau r. LaNGUHAUf MiWABD A. HKHGtLKAMP III EDWARD A. eTHLZEr CLIIAOCTh k. STEPP MARC D. ASM LEV JOSHUA R. CAMMAKtu THAR A. DAVlS* SETH OARDNER MARK gqrDQN BARMT s. KLEINEN JOSEPH S. LARBON lAwheNCC s. HAKOW JCANNChaRIE tfBRJEN PAULA N. RA MOS JAftfcD M. RUSMAN MARIA L. SACHS SHCCNA VlIftlGhT LASA MMMMN3 SCOTT t~ BLACK JAMES ColE,JR. STEPHEN ft. Di PRIMA David l. elrse«o DOUGLAS C.TREEMAN Nancy n. greERHaum SALIL KlJMAft AMR IC H. PARK ERIC A. HUTKORKE DAVID A. SCHWARTE JULIUS fl. SCHWAB? alExandcb sh Ahnes KEVIN p. Sh Echan wayhe w. VU ANDREW J.M. CKEUNcs NICOLE E. CLAPK ""«V« N. OOLUBERCCR t LAI Nr A. OOliN MICHAEL F. MASLLANSKy JONATHAN M. MOSES SUSAN PQWELL ACAM J. S Haiti BO DHANANJAl BHIVAKUMAF Roar L. TAktter jLD l. RE NO MAN MICHAEL A. CHABI-JN ASUWIftl K. CHHAbRA Michael c. NH MC AN JOHN F. LYNCH ROBERT v, MILLEN JÄHES B, nCBKC PETEP f. WILKNISS 'OK BF AAR ONt-T Joseph F. Rice, Esq. Ness, Mntley, Loadholt, Richardson &: Poole 151 Meeting Street Suite 200 Post Office Box 1137 Charleston, South Carolina 29402                         Re:     Costs  and Expenses of Appeals Dear Joe:                  I have your letter of March 5,1999, regarding the reimbuisability under the MSA and the Model State Fee Payment Agreement of reasonable costs and expenses incurred in connection with appeals taken ficom court approvals of the MSA. The Original Participating Manufacturers agree that such costs and expenses are generally reimbursabie as expenses incurred “in connection with” the relevant litigation, provided they comply with the other Standards set forth in the Fee Payment Agreement. However, the Original Participating Manufacturers are not prepared to reimburse costs and expenses incurred by a Settling State or Liiigating Political Subdivision (or its counsel) in connection with post-approval actions, proceedings or activities ofthat eintity (or its counsel) that are adverse to the Original Participating Manufacturers, violate the MSA, or are in Opposition to the attamment of StaU> Specific Finality.                                                            Sincerply,                                        \D          co O / (   ------------ Jeffrey R, Boffaf                                                                                                       O                                                                                                       Cn                                                                                                       co"
"Tobacco800";"adh36e00_1";"FirstPage";" PHILIP MORRIS                         MANAGEMENT CORP.  100 PARK AVENUE. NEW YORK. NY 1001? TElIePHONE (212) 880-5000 CABLE ADORESS: POLD NEW YORK TELEX 42260» FAX NO. (212) 878-2498                                                                                                                        OUR REF.. TRADEMARK DEPARTMENT                                                                   _______                                                                             'IWJBUCT..                                          November 20, 1989                             WITHOUT PREJUDICE                                                    CONFIDEHM Sega Enterprises Inc. 2149 Paragon Drive San Jose, California 95131 Attention:   Mr. Scott  Yasuda              Executive Vice-President       RE: Infringement of MARLBORO and MARLBORO Roof Design            Trademarks on Sega SUPER MONACO GP Video Arcade Game Dear Mr. Yasuda:       This is further to and will confirm our telephone conversation of November 15, 1989, wherein I objected to the Sega SUPER MONACO GP video arcade game, that I noted in the Penn Station, New York City location of Time Out Family Amüsement Centers.       In particular, the game has the following objectionable, unauthorized uses of Philip Morris trademarks: to o 05 C75 ® <55 ZD GO GO  1.   Red Roof-like devices on game cabinet;  2.   Roof Device images on video graphics;  3. MARLBORO word and Roof Devices on banner across race course on video graphics; and  4. MARLBORO and Roof Device on grand prix car appearing on video graphics.                                                                  000001"
"Tobacco800";"adh36e00_2";"NextPage";"Mr. Scott Yasuda                                            Page 2                                                                  I                                                             CONFIDENTIAL       As you are no doubt aware, MARLBORO is the world*s leading cigarette and one of the most faraous of all American trademarks. Moreover, while cigarettes are our major product, substantial business is done in several areas and, as you are also, no doubt, aware, MARLBORO.Sponsors several race cars and racing teams around the world, including the world Champion MARLBORO-McLaren racing team.       MARLBORO, the MARLBORO Roof Design, and the combination thereof are all trademarks owned by Philip Morris. In addition, we also own United States Registration No. 1400689 for MARLBORO WORLD CHAMPIONSHIP TEAM (& racing car), (& Red Roof Design), which covers ""entertainment Services, namely conducting car racing events."" Similar rights are in existence in almost every country world-wide. Accordingly, the usage of our trademarks and those confusingly similar therewith infringe our trademark rights under federal and state laws, our common law trademark and state unfair competition rights, and our rights under national and international laws in other countries.       In the circumstances, we must demand that you cease all such usage and that you recall all games currently existing in the marketplace. It will be appreciated, that as long as these games remain in the marketplace, they constitute continuing infringements of our rights in and to the MARLBORO, MARLBORO Roof Device, and MARLBORO & Roof Device trademarks and tradedress. Moreover, this demand should be considered as one also for your parent Company, to the extent that such games are in the marketplace in other countries.       This is an extremely serious matter to us, and we therefore must have your favorable reply without delay, in the hopes that we can yet resolve the matter amicably, and without resort to litigation. BMK:imz C: 11-172.LTR  000002 2046606989"
"Tobacco800";"adh36e00-page2_1";"FirstPage";" t>HILIP MORRIS                           MANAGEMENT CORP.  100 PARK AVENUE. NEW YORK. NY 1001? TElIePHONE (212) 880-5000 CABLE ADORESS: POLD NEW YORK TELEX 42260» FAX NO. (212) 878-2498                                                                                                                        OUR REF.. TRADEMARK DEPARTMENT                                                                   _______                                                                             'IWJBUCT..                                          November 20, 1989                             WITHOUT PREJUDICE                                                     CONFIDENTIAL Sega Enterprises Inc. 2149 Paragon Drive San Jose, California 95131 Attention:   Mr.  Scott Yasuda              Executive Vice-President       RE: Infringement of MARLBORO and MARLBORO Roof Design            Trademarks on Seaa SUPER MONACO GP Video Arcade Game Dear Mr. Yasuda:       This is further to and will confirm our telephone conversation of November 15, 1989, wherein I objected to the Sega SUPER MONACO GP video arcade game, that I noted in the Penn Station, New York City location of Time Out Family Amüsement Centers.       In particular, the game has the following objectionable, unauthorized uses of Philip Morris trademarks: to o 05 C75 ® <55 ZD GO GO  1.   Red Roof-like devices on game cabinet;  2.   Roof Device images on video graphics;  3. MARLBORO word and Roof Devices on banner across race course on video graphics; and  4. MARLBORO and Roof Device on grand prix car appearing on video graphics.                                                                  000001"
